iter	RMSE
211	74842.73922
212	74724.42934
213	74669.69135
214	74399.5856
215	74273.12487
216	74223.37048
217	74167.73944
218	74004.4953
219	73785.16373
220	73668.98923
221	73404.16713
222	73186.70243
223	73082.63478
224	72935.88077
225	72812.73414
226	72649.29334
227	72610.00975
228	72502.43353
229	72388.97673
230	72158.48454
231	72039.40247
232	71925.51072
233	71820.89755
234	71764.2246
235	71658.0304
236	71602.21317
237	71498.40081
238	71458.81144
239	71343.28126
240	71219.25306
241	71112.28997
242	70852.56005
243	70649.22306
244	70450.63727
245	70414.72203
246	70261.94687
247	70163.55047
248	69726.87382
249	69587.30842
250	69528.53306
251	69437.03069
252	69384.36393
253	69341.54715
254	69243.03096
255	69152.38832
256	69106.73872
257	68942.19167
258	68894.56406
259	68803.07382
260	68726.43354
261	68293.49045
262	68175.31441
263	68048.26532
264	67983.53956
265	67899.04731
266	67824.91241
267	67777.18184
268	67641.28932
269	67567.16869
270	67527.47295
271	67493.6762
272	67448.80407
273	67168.44449
274	67087.63854
275	66959.83105
276	66880.05706
277	66722.25545
278	66645.87291
279	66449.20696
280	66381.53781
281	66316.40213
282	66238.04963
283	66159.7452
284	65898.32239
285	65823.16714
286	65718.3598
287	65532.54436
288	65317.177
289	65087.20343
290	64774.45106
291	64741.40858
292	64443.53252
293	64373.40872
294	64195.06793
295	63948.33418
296	63914.89089
297	63883.92034
298	63587.74889
299	63528.67288
300	63373.60976
301	63305.25126
302	63194.53371
303	63125.1188
304	63059.21123
305	62721.197
306	62615.04219
307	62585.48391
308	62369.71239
309	62136.4613
310	61922.08861
311	61696.74006
312	61445.49178
313	61165.38863
314	61062.07993
315	61037.11931
316	60852.67658
317	60627.45483
318	60381.9098
319	60103.57909
320	60075.32454
321	60048.54083
322	59815.08914
323	59678.58873
324	59562.95475
325	59538.29529
326	59319.17496
327	59128.21958
328	58924.40337
329	58863.84564
330	58838.83322
331	58778.70659
332	58613.5785
333	58519.52251
334	58351.32228
335	58123.55922
336	57966.2551
337	57816.01426
338	57790.06594
339	57766.41957
340	57675.14983
341	57421.53159
342	57335.63846
343	57289.38764
344	57238.36995
345	57038.82434
346	56954.98502
347	56768.76804
348	56553.90292
349	56352.97299
350	56244.7835
351	56104.44862
352	55937.22031
353	55809.95081
354	55562.72792
355	55439.61708
356	55268.58193
357	55181.88943
358	55043.48613
359	54992.02259
360	54776.31157
361	54747.48057
362	54542.86172
363	54523.78617
364	54390.77603
365	54237.5077
366	54214.62797
367	54141.88845
368	53958.56931
369	53769.11229
370	53611.00504
371	53541.06191
372	53445.72068
373	53426.99157
374	53308.3676
375	53032.03087
376	52939.82294
377	52750.63008
378	52483.23344
379	52199.33803
380	51999.88466
381	51868.32746
382	51764.00309
383	51574.45148
384	51556.90218
385	51373.25679
386	51197.59019
387	51110.13169
388	50904.6573
389	50842.49214
390	50781.65451
391	50589.82577
392	50395.66886
393	50240.25517
394	50032.82663
395	49906.92241
396	49760.90421
397	49705.13564
398	49689.75345
399	49519.08218
400	49327.47127
401	49197.38413
402	49055.70104
403	48871.14197
404	48853.81999
405	48837.76366
406	48645.54908
407	48483.7051
408	48400.10507
409	48346.80858
410	48141.38089
411	48019.73351
412	47985.22311
413	47967.77524
414	47909.22536
415	47647.66184
416	47598.93562
417	47394.08682
418	47271.05372
419	47255.93576
420	47186.98353
421	47011.15267
422	46908.74764
423	46730.8163
424	46716.8106
425	46702.00293
426	46599.92125
427	46585.93193
428	46404.1933
429	46389.78549
430	46294.96993
431	46280.76918
432	46240.65781
433	46213.7961
434	46029.42944
435	45882.37537
436	45738.78492
437	45598.12387
438	45584.96842
439	45450.65102
440	45405.05395
441	45296.40243
442	45168.87469
443	44981.08218
444	44865.23109
445	44847.80271
446	44743.06785
447	44569.58033
448	44446.31794
449	44317.55328
450	44150.40166
451	44117.84783
452	44037.0922
453	43913.61416
454	43895.92261
455	43850.40152
456	43834.13329
457	43725.96216
458	43680.90244
459	43561.55831
460	43374.67003
461	43331.455
462	43317.86778
463	43305.15183
464	43274.80567
465	43157.77304
466	43016.63524
467	42882.74339
468	42754.212
469	42741.0324
470	42729.17153
471	42686.59535
472	42669.33344
473	42590.7489
474	42495.32435
475	42378.34052
476	42362.65939
477	42307.57576
478	42292.15752
479	42181.22011
480	42083.96679
481	41909.10767
482	41793.2082
483	41712.90972
484	41606.0796
485	41563.68327
486	41421.09178
487	41377.32434
488	41279.37781
489	41239.73971
490	41081.8244
491	41070.68996
492	41059.17795
493	40936.31868
494	40883.72375
495	40815.26849
496	40710.78949
497	40588.45199
498	40566.19934
499	40546.75687
500	40501.70749
501	40406.90858
502	40396.62388
503	40374.1183
504	40333.51602
505	40228.62995
506	40215.27254
507	40172.76604
508	40038.26684
509	39977.21155
510	39941.82926
511	39838.98967
512	39761.99561
513	39747.06257
514	39644.29643
515	39541.35806
516	39531.63085
517	39427.81164
518	39412.66133
519	39334.79777
520	39213.01468
521	39139.20656
522	39079.31613
523	39022.49046
524	38935.69223
525	38923.57884
526	38772.50225
527	38733.31184
528	38700.66467
529	38615.59637
530	38596.74453
531	38504.39991
532	38494.45503
533	38459.9305
534	38380.68794
535	38253.42312
536	38196.1719
537	38123.87867
538	38079.27665
539	38050.97959
540	37967.33712
541	37872.17112
542	37836.25919
543	37727.06737
544	37618.3258
545	37587.99253
546	37557.05105
547	37492.18042
548	37411.80525
549	37365.55712
550	37336.46361
551	37280.7534
552	37269.94776
553	37182.18194
554	37169.40543
555	37076.23553
556	36990.93438
557	36926.81246
558	36842.33007
559	36755.82554
560	36744.87288
561	36679.11377
562	36650.89144
563	36553.69965
564	36421.29591
565	36382.94282
566	36315.56389
567	36256.74678
568	36181.71311
569	36094.51595
570	35935.20275
571	35833.55393
572	35820.58733
573	35810.03805
574	35797.34045
575	35715.75434
576	35665.40669
577	35571.24471
578	35563.12673
579	35555.25027
580	35498.09837
581	35412.63834
582	35402.76306
583	35334.42798
584	35291.36428
585	35227.84139
586	35138.5944
587	35090.93809
588	35082.33574
589	35030.34594
590	34973.73144
591	34964.16935
592	34937.86185
593	34799.96991
594	34744.69743
595	34721.47445
596	34590.4593
597	34453.29724
598	34443.95045
599	34436.44787
600	34360.22843
601	34350.86954
602	34264.76796
603	34176.01901
604	34073.60299
605	33999.66372
606	33990.56975
607	33904.64343
608	33831.92978
609	33812.0566
610	33800.7064
611	33792.82883
612	33731.83491
613	33673.88436
614	33601.80203
615	33483.98673
616	33400.92604
617	33331.40503
618	33314.59092
619	33305.9869
620	33227.83134
621	33204.71553
622	33075.99462
623	33009.35936
624	32929.20107
625	32910.82575
626	32819.79306
627	32782.69532
628	32748.7591
629	32686.90305
630	32668.24008
631	32603.8683
632	32534.65862
633	32516.35508
634	32450.64666
635	32384.43787
636	32369.25447
637	32313.70762
638	32282.18438
639	32242.57621
640	32194.73462
641	32130.69952
642	32125.0735
643	32070.29936
644	32053.09393
645	32035.45728
646	31973.75596
647	31919.79869
648	31857.17609
649	31832.89315
650	31781.21363
651	31730.95652
652	31689.65354
653	31614.2298
654	31602.02534
655	31561.70288
656	31514.44185
657	31488.22229
658	31438.27809
659	31313.86026
660	31245.46784
661	31195.02317
662	31159.34707
663	31141.81153
664	31094.24806
665	31040.4036
666	30979.20822
667	30972.428
668	30909.82165
669	30887.92427
670	30821.23028
671	30776.1272
672	30763.18169
673	30720.2599
674	30673.85471
675	30601.32949
676	30585.38771
677	30538.28703
678	30497.24522
679	30442.55537
680	30428.85448
681	30354.15268
682	30285.7324
683	30266.10149
684	30225.66628
685	30172.62576
686	30164.01078
687	30113.88904
688	30072.30252
689	30024.57014
690	30006.06848
691	29930.99556
692	29812.54493
693	29757.31308
694	29714.01021
695	29673.87773
696	29653.83809
697	29630.76327
698	29602.34991
699	29554.7332
700	29522.75039
701	29479.77626
702	29457.02969
703	29417.66064
704	29411.68321
705	29370.38821
706	29329.06961
707	29297.14256
708	29283.09517
709	29234.35351
710	29167.46969
711	29120.88272
712	29072.61289
713	29037.41413
714	29010.07653
715	28967.04854
716	28922.25724
717	28833.29546
718	28777.13478
719	28738.98943
720	28677.82498
721	28668.95588
722	28658.6935
723	28542.89742
724	28436.1377
725	28386.27181
726	28358.72044
727	28306.11969
728	28290.86877
729	28213.31458
730	28175.86619
731	28138.87731
732	28133.38354
733	28080.10592
734	28044.15124
735	28027.6594
736	28023.11232
737	27938.454
738	27880.58344
739	27810.07987
740	27768.10577
741	27723.43115
742	27718.20404
743	27624.95568
744	27564.13284
745	27524.01707
746	27443.52473
747	27404.36952
748	27392.34522
749	27375.49024
750	27360.53866
751	27286.08831
752	27240.42118
753	27227.17685
754	27192.76115
755	27136.79747
756	27100.68953
757	27068.58478
758	27044.07088
759	26997.38828
760	26988.00381
761	26910.87269
762	26899.94932
763	26889.25999
764	26871.55649
765	26852.85556
766	26761.67723
767	26708.31768
768	26676.36004
769	26664.4984
770	26657.48037
771	26596.56107
772	26557.77831
773	26524.19186
774	26463.17419
775	26398.10724
776	26348.36619
777	26330.0636
778	26307.10206
779	26268.06785
780	26238.47192
781	26234.4695
782	26159.99005
783	26105.64752
784	26090.13474
785	26064.90136
786	26048.03466
787	25981.38739
788	25943.48436
789	25904.01108
790	25812.42244
791	25720.37469
792	25684.2612
793	25641.06883
794	25632.02183
795	25591.4946
796	25528.09186
797	25436.55885
798	25343.60363
799	25262.6238
800	25200.07169
801	25189.48706
802	25129.01647
803	25042.05086
804	24910.02714
805	24899.54229
806	24858.09216
807	24794.99291
808	24747.52111
809	24730.91501
810	24702.30772
811	24646.02555
812	24584.11548
813	24579.09228
814	24559.59679
815	24543.75794
816	24514.48027
817	24476.16754
818	24415.03593
819	24399.23464
820	24366.44152
821	24327.80704
822	24297.63401
823	24252.96372
824	24209.23825
825	24147.79011
826	24091.33386
827	24083.30134
828	23998.07873
829	23965.19981
830	23949.24163
831	23917.78582
832	23887.77212
833	23870.2151
834	23784.10293
835	23720.31804
836	23684.73135
837	23669.28008
838	23644.25015
839	23629.42963
840	23612.49848
841	23551.07167
842	23478.24039
843	23431.22252
844	23373.04338
845	23343.76144
846	23292.62901
847	23278.5074
848	23274.25459
849	23259.937
850	23240.47984
851	23205.45694
852	23195.94008
853	23169.86964
854	23131.59059
855	23094.71728
856	23088.37389
857	23043.5215
858	23034.26581
859	23025.51293
860	22969.66466
861	22939.94316
862	22925.02553
863	22889.62346
864	22806.11641
865	22772.25642
866	22753.98055
867	22697.61061
868	22642.96037
869	22603.22085
870	22586.62953
871	22579.69195
872	22575.09295
873	22538.09307
874	22502.29118
875	22484.81013
876	22452.52726
877	22378.41614
878	22349.54948
879	22333.59951
880	22297.37744
881	22249.12008
882	22218.39856
883	22149.71122
884	22131.23844
885	22125.07522
886	22121.21886
887	22099.52305
888	22062.43485
889	22040.73352
890	22006.05132
891	21971.89192
892	21961.8679
893	21914.1009
894	21899.65048
895	21870.09289
896	21830.74464
897	21817.76659
898	21776.49955
899	21744.56022
900	21686.95071
901	21666.56272
902	21637.01691
903	21632.36115
904	21600.78537
905	21568.24035
906	21517.984
907	21482.49714
908	21473.70646
909	21463.06702
910	21436.93285
911	21426.67495
912	21411.46779
913	21404.66571
914	21354.31886
915	21339.7763
916	21280.98863
917	21222.32665
918	21203.39256
919	21158.22139
920	21148.45374
921	21101.52068
922	21056.82723
923	21039.33312
924	21015.68803
925	20945.21936
926	20935.52055
927	20929.6819
928	20920.36052
929	20906.64157
930	20882.28179
931	20847.20853
932	20747.51568
933	20694.31161
934	20652.10595
935	20596.38164
936	20528.61021
937	20474.87481
938	20442.36023
939	20435.93568
940	20413.42929
941	20392.95182
942	20358.41899
943	20312.47979
944	20265.51619
945	20240.83844
946	20181.51319
947	20158.03984
948	20128.01266
949	20103.37872
950	20072.03182
951	20059.27697
952	20008.24361
953	19988.07768
954	19972.94033
955	19914.21689
956	19881.73478
957	19875.0904
958	19807.64083
959	19798.17116
960	19784.52075
961	19742.03649
962	19720.15592
963	19689.67645
964	19678.02206
965	19650.35769
966	19621.82567
967	19578.37677
968	19538.40078
969	19520.17015
970	19502.05338
971	19474.42673
972	19445.13766
973	19431.9835
974	19420.81537
975	19408.5783
976	19393.72537
977	19347.05729
978	19327.06881
979	19282.77488
980	19233.44889
981	19183.94556
982	19172.4726
983	19106.38581
984	19077.30014
985	19037.39198
986	19004.58269
987	18987.64592
988	18950.51394
989	18910.93717
990	18898.77
991	18839.1868
992	18814.61054
993	18802.21985
994	18775.68882
995	18763.68862
996	18732.72701
997	18726.17886
998	18713.37831
999	18683.65971
